share_name                     ,number,first_date,last_date
ISHSII-LIST.PRIV.EQ.DLDIS      ,A0MM0N.FFM,27.12.2019,27.12.2019
ISHSII-MSCI EUR.SRI DLDIS      ,A2N9LL.FFM,15.03.2019,15.03.2019
ISHSII-MSCI EUR.SRI EOACC      ,A1H7ZS.FFM,27.12.2019,27.12.2019
ISHSII-US AGGREG.BD DLDIS      ,A1JKDK.FFM,22.11.2019,22.11.2019
ISHSIII-C.EO CORP.B.EODIS      ,A0RGEP.FFM,27.12.2019,27.12.2019
ISHSIII-CORE GL.A.BD EOAH      ,A2H6ZT.FFM,07.02.2020,07.02.2020
ISHSIII-EO CBX-F1-5YR EOD      ,A0RPWP.FFM,22.11.2019,22.11.2019
ISHSIII-EO COV.BD EO DIS       ,A0Q41Y.FFM,27.12.2019,27.12.2019
ISHSIII-EO GB.5-7YR EODIS      ,A0RL81.FFM,07.02.2020,07.02.2020
ISHSIII-GL.GOV.BD DL DIS       ,A0RGEM.FFM,07.02.2020,07.02.2020
ISHSIII-MSCI AUSTR.DLACC       ,A0YJ80.FFM,27.12.2019,27.12.2019
ISHSIII-MSCI EM USD(ACC)       ,A0RPWJ.FFM,22.11.2019,22.11.2019
ISHSIII-MSCI S.A.C.UE DLA      ,A14ZV2.FFM,17.05.2019,17.05.2019
ISHSIII-MSCI S.A.C.UE DLD      ,A2PGTG.FFM,17.05.2019,17.05.2019
ISHSIII-S+P SM.CAP600 DLD      ,A0Q1YY.FFM,27.12.2019,27.12.2019
ISHSIV - ISH.CHIN.BD.U.ET      ,A14T8G.FFM,13.09.2019,13.09.2019
ISHSIV-DG.SEC. DLD             ,A2JNYG.FFM,07.02.2020,07.02.2020
ISHSIV-DIGITIL.SECUR.DL A      ,A2JMGE.FFM,07.02.2020,07.02.2020
ISHSIV-DL S.D.H.Y.BD DL D      ,A1W373.FFM,27.12.2019,27.12.2019
ISHSIV-DL T.BD20+YR DL D       ,A12HL9.FFM,07.02.2020,07.02.2020
ISHSIV-E.MSCI EO M.F.EO A      ,A12DPN.FFM,27.12.2019,27.12.2019
ISHSIV-E.MSCI EU.QU.F.EOA      ,A12DPM.FFM,27.12.2019,27.12.2019
ISHSIV-E.MSCI USA M.F.DLA      ,A2AP36.FFM,27.12.2019,27.12.2019
ISHSIV-E.MSCI USA SIZE.F.      ,A2AP33.FFM,27.12.2019,27.12.2019
ISHSIV-E.MSCI W.VAL.F.DLA      ,A12ATG.FFM,22.11.2019,22.11.2019
ISHSIV-E.MSCI WLD S.F.DLA      ,A12ATH.FFM,22.11.2019,22.11.2019
ISHSIV-ED.MSCI WLD M.EOHA      ,A2DN91.FFM,07.02.2020,07.02.2020
ISHSIV-EO G.BD 20YT.D.EOD      ,A12HMZ.FFM,13.09.2019,13.09.2019
ISHSIV-FALL.A.H.Y.C.BDDLD      ,A2AFCX.FFM,27.12.2019,27.12.2019
ISHSIV-M.EM ESC ENH.DLA        ,A2PCB0.FFM,22.11.2019,22.11.2019
ISHSIV-M.EUR.ESC ENH.EOD       ,A2PDNW.FFM,17.05.2019,17.05.2019
ISHSIV-M.USA S. DLD            ,A2N9LH.FFM,27.12.2019,27.12.2019
ISHSIV-M.USA S. EOD            ,A2JN2K.FFM,07.02.2020,07.02.2020
ISHSIV-MSCI CHINA DL A         ,A2PGQN.FFM,09.08.2019,09.08.2019
ISHSIV-MSCI EM IMI ES.DLA      ,A2N6TH.FFM,27.12.2019,27.12.2019
ISHSIV-MSCI EM IMI ES.DLD      ,A2N6TJ.FFM,07.02.2020,07.02.2020
ISHSIV-MSCI EUR.ESG S.EOA      ,A2N48D.FFM,27.12.2019,27.12.2019
ISHSIV-MSCI EUR.ESG S.EOD      ,A2N48E.FFM,07.02.2020,07.02.2020
ISHSIV-MSCI INDIA UC.ETF       ,A2AFCY.FFM,07.02.2020,07.02.2020
ISHSIV-MSCI JAP.ESG S.DLA      ,A2N6TF.FFM,27.12.2019,27.12.2019
ISHSIV-MSCI JAPAN SRI DL       ,A2N9LK.FFM,22.11.2019,22.11.2019
ISHSIV-MSCI USA ESG S.DLD      ,A2N6TC.FFM,07.02.2020,07.02.2020
ISHSIV-MSCI WLD ESG S.DLD      ,A2N6TE.FFM,27.12.2019,27.12.2019
ISHSIV-MSCI WLD.SRI U.EOA      ,A2DVB9.FFM,15.03.2019,15.03.2019
ISHSIV-SUS.M.EM.MK.SRI DL      ,A2AFCZ.FFM,07.02.2020,07.02.2020
ISHSV-MSCI ACWI DL A           ,A1JMDF.FFM,27.12.2019,27.12.2019
ISHSV-MSCI JAPAN EO HDG A      ,A1C5E6.FFM,27.12.2019,27.12.2019
ISHSV-O+G.EX.+PROD.DL A        ,A1JKQL.FFM,27.12.2019,27.12.2019
ISHSV-S+500INF.T.SECT.DLA      ,A142N1.FFM,27.12.2019,27.12.2019
ISHSV-S+P500 C.S.U.ETF DL      ,A2JQ2H.FFM,07.02.2020,07.02.2020
ISHSV-S+P500 FIN.SECT.DLA      ,A142NY.FFM,22.11.2019,22.11.2019
ISHSV-S+P500 UT.SECT.DL A      ,A142N3.FFM,27.12.2019,27.12.2019
ISHSV-S+P500C.D.SECT.DL A      ,A142NV.FFM,07.02.2020,07.02.2020
ISHSV-S+P500ENER.SECT.DLA      ,A142NX.FFM,27.12.2019,27.12.2019
ISHSV-S+P500H.CA.SECT.DLA      ,A142NZ.FFM,27.12.2019,27.12.2019
ISHSV.MSCI W.EUR HGD ACC       ,A1C5E7.FFM,27.12.2019,27.12.2019
ISHSVI-E.MSCI EM MIN.VDLA      ,A1J782.FFM,27.12.2019,27.12.2019
ISHSVI-E.MSCIEUR.M.VESGEO      ,A2PYV3.FFM,08.05.2020,08.05.2020
ISHSVI-E.MSCIUSA M.VESGDL      ,A2PY8D.FFM,08.05.2020,08.05.2020
ISHSVI-E.MSCIWLD M.V.E.DL      ,A2PY8C.FFM,08.05.2020,08.05.2020
ISHSVI-EMWDMVE CLDLD           ,A2QA0W.FFM,30.09.2020,30.10.2020
ISHSVI-G.AAA-AA G.B.DL D       ,A1J40N.FFM,27.12.2019,27.12.2019
ISHSVI-INC.A.DIV.U.E.DLA       ,A2DVK8.FFM,27.12.2019,27.12.2019
ISHSVI-JPM DL BD EOH DIS       ,A1W0MQ.FFM,07.02.2020,07.02.2020
ISHSVII-C.EO STXX50 EOACC      ,A0YEDJ.FFM,07.02.2020,07.02.2020
ISHSVII-EOGB.3-7YR EO ACC      ,A0X8SL.FFM,27.12.2019,27.12.2019
ISHSVII-EOGB.7-10YR EOACC      ,A0X8SM.FFM,27.12.2019,27.12.2019
ISHSVII-MSCI BRAZIL DLACC      ,A1C1HY.FFM,07.02.2020,07.02.2020
ISHSVII-NASDAQ 100 DL ACC      ,A0YEDL.FFM,27.12.2019,27.12.2019
ISHSVII-NIKKEI 225 YN ACC      ,A0YEDQ.FFM,07.02.2020,07.02.2020
ISIV-MEMUEE ETF EOD            ,A2PDNS.FFM,17.05.2019,17.05.2019
ISIV-MJEEUETF DLD              ,A2PDNT.FFM,17.05.2019,17.05.2019
ISIV-MUEEU ETF DLD             ,A2PDNU.FFM,17.05.2019,17.05.2019
ISIV-MWEEUETF DLD              ,A2PDNV.FFM,17.05.2019,17.05.2019
ISIV-US EQ.B.AC.U.ETF DLA      ,A12DPR.FFM,07.02.2020,07.02.2020
ISRA VISION O.N.               ,548810.FFM,13.11.2020,23.04.2021
ISRA VISION O.N.               ,548810.ETR,13.11.2020,23.04.2021
ISRA VISION O.N.  JGE          ,A2TSSM.FFM,15.03.2019,15.03.2019
ISRA VISION O.N. Z.VERK.       ,A254W6.ETR,19.06.2020,19.06.2020
ISRA VISION O.N. Z.VERK.       ,A254W6.FFM,21.08.2020,21.08.2020
ISTX SIE-L.SP.OFF BASK.EO      ,A1A4CL.ETR,10.02.2020,10.02.2020
ISV-M.W.C.DI.S. DLD            ,A2PHCG.FFM,22.11.2019,22.11.2019
ISV-M.W.C.ST.S. DLD            ,A2PHCH.FFM,22.11.2019,22.11.2019
ISV-M.W.EN.SC. DLD             ,A2PHCF.FFM,22.11.2019,22.11.2019
ISV-M.W.H.C.SC. DLD            ,A2PHCD.FFM,22.11.2019,22.11.2019
ISV-M.W.IN.T.S. DLD            ,A2PHCC.FFM,22.11.2019,22.11.2019
ITN NANOVATION                 ,A0JL46.FFM,13.11.2020,23.04.2021
ITN NANOVATION                 ,A0JL46.ETR,13.11.2020,22.03.2021
ITT INC.         DL 1          ,A2AJTS.ETR,26.01.2021,23.04.2021
ITT INC.         DL 1          ,A2AJTS.FFM,27.01.2021,23.04.2021
IVU TRAFFIC TECHN.AG O.N.      ,744850.FFM,13.11.2020,23.04.2021
IVU TRAFFIC TECHN.AG O.N.      ,744850.ETR,13.11.2020,23.04.2021
JDC GROUP AG O.N.              ,A0B9N3.FFM,13.11.2020,23.04.2021
JDC GROUP AG O.N.              ,A0B9N3.ETR,13.11.2020,23.04.2021
JDE PEETS BV     EO 1          ,A2P0E9.FFM,13.11.2020,23.04.2021
JDE PEETS BV     EO 1          ,A2P0E9.ETR,13.11.2020,23.04.2021
JENOPTIK AG  NA O.N.           ,A2NB60.FFM,13.11.2020,23.04.2021
JENOPTIK AG  NA O.N.           ,A2NB60.ETR,13.11.2020,23.04.2021
JETBLUE AWYS CORP. DL-*01      ,541867.ETR,15.01.2021,23.04.2021
JETBLUE AWYS CORP. DL-*01      ,541867.FFM,15.01.2021,23.04.2021
JOHNSON + JOHNSON    DL 1      ,853260.FFM,13.11.2020,23.04.2021
JOHNSON + JOHNSON    DL 1      ,853260.ETR,13.11.2020,23.04.2021
JOHNSON CONTR.INTL.DL-*01      ,A2AQCA.ETR,26.01.2021,23.04.2021
JOHNSON CONTR.INTL.DL-*01      ,A2AQCA.FFM,27.01.2021,23.04.2021
JOST WERKE AG INH.   O.N.      ,JST400.FFM,13.11.2020,23.04.2021
JOST WERKE AG INH.   O.N.      ,JST400.ETR,13.11.2020,23.04.2021
JPM I-DL EM.MK.SOV.BD.DLD      ,A2JBL7.FFM,27.12.2019,27.12.2019
JPM I-DL ULTRA-SH.INC.DLA      ,A2N8HQ.FFM,22.11.2019,22.11.2019
JPM I-EO ULTRA-SH.INC.EOA      ,A2JG3C.FFM,22.11.2019,22.11.2019
JPM I-GL.EM RES.E.I.E.DLA      ,A2DWM5.FFM,27.12.2019,27.12.2019
JPM I-GL.RES.ENH.I.E. DLA      ,A2DWM6.FFM,27.12.2019,27.12.2019
JPM ICAV-BETAB.EO GBD EOA      ,A2PD1S.FFM,17.05.2019,17.05.2019
JPM ICAV-EQ L.S.U.ETF EOH      ,A2JQ3E.FFM,22.11.2019,22.11.2019
JPM ICAV-GL.EQ.M.-F.DL AC      ,A2PJEP.FFM,09.08.2019,09.08.2019
JPM ICAV-GL.HY CO.BD DLAC      ,A2PWZJ.FFM,20.03.2020,20.03.2020
JPM ICAV-MGD FUTS EFT DLA      ,A2DWRZ.FFM,27.12.2019,27.12.2019
JPM ICAV-MGD FUTS EFT EOH      ,A2JQ3F.FFM,22.11.2019,22.11.2019
JPM ICAV-US EQ.M.-F.DL AC      ,A2PJEQ.FFM,09.08.2019,09.08.2019
JPM-BETAB.U.T.B.0-1Y DLA       ,A2PK49.FFM,09.08.2019,09.08.2019
JPM-BETAB.U.T.B.1-3Y DLA       ,A2JG3B.FFM,27.12.2019,27.12.2019
JPM-BETAB.US TR.BD DLA         ,A2PD1R.FFM,17.05.2019,17.05.2019
JPMORGAN CHASE       DL 1      ,850628.FFM,13.11.2020,23.04.2021
JPMORGAN CHASE       DL 1      ,850628.ETR,13.11.2020,23.04.2021
JUMIA TECH. SP.ADR/2 O.N.      ,A2PGZM.FFM,13.11.2020,23.04.2021
JUMIA TECH. SP.ADR/2 O.N.      ,A2PGZM.ETR,13.11.2020,22.03.2021
JUNGHEINRICH AG O.N.VZO        ,621993.FFM,13.11.2020,23.04.2021
JUNGHEINRICH AG O.N.VZO        ,621993.ETR,13.11.2020,23.04.2021
JUNIPER NETWORKS   DL-*01      ,923889.ETR,13.11.2020,23.04.2021
JUNIPER NETWORKS   DL-*01      ,923889.FFM,13.11.2020,23.04.2021
JUST EAT TAKEAWAY. EO-*04      ,A2ASAC.ETR,26.03.2021,23.04.2021
JUST EAT TAKEAWAY. EO-*04      ,A2ASAC.FFM,26.03.2021,23.04.2021
K+S AG NA O.N.                 ,KSAG88.FFM,13.11.2020,23.04.2021
K+S AG NA O.N.                 ,KSAG88.ETR,13.11.2020,23.04.2021
K+S AG SP.ADR 1/2/O.N.         ,A0YGKY.FFM,13.11.2020,23.04.2021
K+S AG SP.ADR 1/2/O.N.         ,A0YGKY.ETR,13.11.2020,22.03.2021
KANDI TECHNOL.GRP DL-*001      ,A0M9BA.ETR,26.01.2021,23.04.2021
KANDI TECHNOL.GRP DL-*001      ,A0M9BA.FFM,27.01.2021,23.04.2021
KANS.CIT.SO.                   ,502665.ETR,15.01.2021,23.04.2021
KANS.CIT.SO.                   ,502665.FFM,15.01.2021,23.04.2021
KAP AG  INH O.N.               ,620840.ETR,13.11.2020,23.04.2021
KAP AG  INH O.N.               ,620840.FFM,13.11.2020,23.04.2021
KBR INC.         DL -*001      ,A0LEFS.ETR,26.01.2021,23.04.2021
KBR INC.         DL -*001      ,A0LEFS.FFM,27.01.2021,23.04.2021
KELLOGG CO.       DL -*25      ,853265.FFM,13.11.2020,23.04.2021
KELLOGG CO.       DL -*25      ,853265.ETR,13.11.2020,23.04.2021
KERING S.A. INH.     EO 4      ,851223.FFM,13.11.2020,23.04.2021
KERING S.A. INH.     EO 4      ,851223.ETR,13.11.2020,23.04.2021
KEYCORP              DL 1      ,869353.ETR,15.01.2021,23.04.2021
KEYCORP              DL 1      ,869353.FFM,15.01.2021,23.04.2021
KEYSIGHT TECHS     DL-*01      ,A12B6J.ETR,15.01.2021,23.04.2021
KEYSIGHT TECHS     DL-*01      ,A12B6J.FFM,15.01.2021,23.04.2021
KHD HUMBOLDT WEDAG O.N.        ,657800.FFM,13.11.2020,23.04.2021
KHD HUMBOLDT WEDAG O.N.        ,657800.ETR,13.11.2020,23.04.2021
KIMBERLY-CLARK    DL 1*25      ,855178.FFM,13.11.2020,23.04.2021
KIMBERLY-CLARK    DL 1*25      ,855178.ETR,13.11.2020,23.04.2021
KINDER MORGAN P DL-*01         ,A1H6GK.ETR,13.11.2020,23.04.2021
KINDER MORGAN P DL-*01         ,A1H6GK.FFM,13.11.2020,23.04.2021
KINGFISHER  LS-*157142857      ,812861.ETR,13.11.2020,23.04.2021
KINGFISHER  LS-*157142857      ,812861.FFM,13.11.2020,23.04.2021
KINROSS GOLD CORP.             ,A0DM94.FFM,13.11.2020,23.04.2021
KINROSS GOLD CORP.             ,A0DM94.ETR,13.11.2020,23.04.2021
KION GROUP AG                  ,KGX888.FFM,13.11.2020,23.04.2021
KION GROUP AG                  ,KGX888.ETR,13.11.2020,23.04.2021
KION GROUP AG BZR              ,A3H22F.ETR,01.12.2020,01.12.2020
KKR + CO. INC.       O.N.      ,A2LQV6.FFM,15.01.2021,23.04.2021
KKR + CO. INC.       O.N.      ,A2LQV6.ETR,15.01.2021,22.03.2021
KLA CORP.        DL -*001      ,865884.FFM,13.11.2020,23.04.2021
KLA CORP.        DL -*001      ,865884.ETR,13.11.2020,23.04.2021
KLASSIK RADIO AG NA O.N.       ,785747.FFM,13.11.2020,23.04.2021
KLASSIK RADIO AG NA O.N.       ,785747.ETR,13.11.2020,23.04.2021
KLOECKNER + CO SE NA O.N.      ,KC0100.FFM,13.11.2020,23.04.2021
KLOECKNER + CO SE NA O.N.      ,KC0100.ETR,13.11.2020,23.04.2021
KMEFIC FTSE KUW.EQU. EOA       ,A2PBXD.FFM,30.09.2020,30.10.2020
KMEFIC KW.EQ. EOA DEC          ,A2PD3R.FFM,17.05.2019,17.05.2019
KNAUS AG  INH O.N.             ,A2YN50.FFM,13.11.2020,23.04.2021
KNAUS AG  INH O.N.             ,A2YN50.ETR,13.11.2020,23.04.2021
KNORR-BREMSE AG  INH O.N.      ,KBX100.FFM,13.11.2020,23.04.2021
KNORR-BREMSE AG  INH O.N.      ,KBX100.ETR,13.11.2020,23.04.2021
KOENIG + BAUER AG ST O.N.      ,719350.FFM,13.11.2020,23.04.2021
KOENIG + BAUER AG ST O.N.      ,719350.ETR,13.11.2020,23.04.2021
KON. KPN NV         EO-04      ,890963.FFM,21.08.2020,23.04.2021
KON. KPN NV         EO-04      ,890963.ETR,20.03.2020,20.03.2020
KONE OYJ           B O.N.      ,A0ET4X.ETR,18.08.2020,23.04.2021
KONE OYJ           B O.N.      ,A0ET4X.FFM,30.09.2020,23.04.2021
KONINKL. PHILIPS ADR -*20      ,940936.ETR,13.11.2020,22.03.2021
KONINKL. PHILIPS ADR -*20      ,940936.FFM,13.11.2020,23.04.2021
KONINKL. PHILIPS EO -*20       ,940602.FFM,13.11.2020,23.04.2021
KONINKL. PHILIPS EO -*20       ,940602.ETR,13.11.2020,23.04.2021
KONINKLIJKE DSM  EO 1*50       ,A0JLZ7.ETR,26.03.2021,23.04.2021
KONINKLIJKE DSM  EO 1*50       ,A0JLZ7.FFM,26.03.2021,23.04.2021
KONTOOR BRANDS INC.            ,A2PJSK.ETR,26.01.2021,23.04.2021
KONTOOR BRANDS INC.            ,A2PJSK.FFM,27.01.2021,23.04.2021
KPS AG NA O.N.                 ,A1A6V4.FFM,13.11.2020,23.04.2021
KPS AG NA O.N.                 ,A1A6V4.ETR,13.11.2020,23.04.2021
KRAFT HEINZ CO.DL -*01         ,A14TU4.FFM,13.11.2020,23.04.2021
KRAFT HEINZ CO.DL -*01         ,A14TU4.ETR,13.11.2020,23.04.2021
KROGER CO.           DL 1      ,851544.ETR,15.01.2021,23.04.2021
KROGER CO.           DL 1      ,851544.FFM,15.01.2021,23.04.2021
KROMI LOGISTIK  INH. O.N.      ,A0KFUJ.ETR,13.11.2020,23.04.2021
KROMI LOGISTIK  INH. O.N.      ,A0KFUJ.FFM,13.11.2020,23.04.2021
KRONES AG O.N.                 ,633500.FFM,13.11.2020,23.04.2021
KRONES AG O.N.                 ,633500.ETR,13.11.2020,23.04.2021
KSB SE+CO.KGAA  ST O.N.        ,629200.FFM,13.11.2020,23.04.2021
KSB SE+CO.KGAA  ST O.N.        ,629200.ETR,13.11.2020,23.04.2021
KSB SE+CO.KGAA VZO O.N.        ,629203.FFM,13.11.2020,23.04.2021
KSB SE+CO.KGAA VZO O.N.        ,629203.ETR,13.11.2020,23.04.2021
KUEHNE + NAGEL INTL  SF 1      ,A0JLZL.FFM,09.08.2019,01.01.2019
KUEHNE + NAGEL INTL  SF 1      ,A0JLZL.ETR,28.06.2019,28.06.2019
KUKA AG                        ,620440.FFM,13.11.2020,23.04.2021
KUKA AG                        ,620440.ETR,13.11.2020,23.04.2021
KWS SAAT KGAA  INH O.N.        ,707400.FFM,13.11.2020,23.04.2021
KWS SAAT KGAA  INH O.N.        ,707400.ETR,13.11.2020,23.04.2021
L BRANDS INC.      DL-*50      ,A1T7NF.ETR,13.11.2020,23.04.2021
L BRANDS INC.      DL-*50      ,A1T7NF.FFM,13.11.2020,23.04.2021
L+G EU.EX. UK EQ. EOA DZ       ,A2PADM.FFM,07.02.2020,07.02.2020
L+G GLOBAL EQUITY DLA DZ       ,A2PADP.FFM,27.12.2019,27.12.2019
L+G US EQUITY DLA DZ           ,A2PADR.FFM,07.02.2020,07.02.2020
L+G-AP.EX JN EQ DLA            ,A2N4PT.FFM,08.05.2020,08.05.2020
L+G-AP.EX JN EQ DLA DZ         ,A2PANR.FFM,07.02.2020,07.02.2020
L+G-EU.EQ.RES.EXC.EOACCET      ,A2PRHB.FFM,08.05.2020,08.05.2020
L+G-EU.EX UK EQ EOA            ,A2N4PS.FFM,08.05.2020,08.05.2020
L+G-GL.EQ. DLA                 ,A2N4PQ.FFM,08.05.2020,08.05.2020
L+G-JAPAN EQUITY DLA DZ        ,A2PADQ.FFM,15.02.2019,15.02.2019
L+G-JP.EQ. DLA                 ,A2N4PR.FFM,08.05.2020,08.05.2020
L+G-L+G ALL COMMODITIES        ,A2DQ7M.FFM,19.06.2020,19.06.2020
L+G-L+G ART.INTEL.U.ETF        ,A2PM50.FFM,08.05.2020,08.05.2020
L+G-L+G BATT.V.-CHAIN DZ       ,A2H9VG.FFM,22.11.2019,22.11.2019
L+G-L+G BATT.VALUE-CHAIN       ,A2H5GK.FFM,08.05.2020,08.05.2020
L+G-L+G CLEAN WATER U.ETF      ,A2PM52.FFM,08.05.2020,08.05.2020
L+G-L+G CYB.SEC.U.ETF DZ       ,A14ZT8.FFM,27.12.2019,27.12.2019
L+G-L+G DAX D.2X SHORT         ,A0X896.FFM,19.06.2020,19.06.2020
L+G-L+G DAX DAILY 2X LONG      ,A0X895.FFM,08.05.2020,08.05.2020
L+G-L+G E FD MSCI CH.A DZ      ,A1XEFE.FFM,07.02.2020,07.02.2020
L+G-L+G E FD MSCI CHINA A      ,A1XBTG.FFM,19.06.2020,19.06.2020
L+G-L+G ECOM.LOGISTICS DZ      ,A2H9VH.FFM,27.12.2019,27.12.2019
L+G-L+G ECOMM.LOGISTICS        ,A2H5GL.FFM,08.05.2020,08.05.2020
L+G-L+G HLTHC.BRK.U.ETF        ,A2PM51.FFM,08.05.2020,08.05.2020
L+G-L+G PHARMA BREAKTHR.       ,A2H9XR.FFM,08.05.2020,08.05.2020
L+G-L+G R.2000 US S.C.         ,A0Q8H2.FFM,19.06.2020,19.06.2020
L+G-L+G R.GBL ROB.AUTOM.       ,A12DB1.FFM,08.05.2020,08.05.2020
L+G-L.D.A.C.XA.L.UETF          ,A2DQ7N.FFM,19.06.2020,19.06.2020
L+G-L.DAT.A.COMM.U.ETF DZ      ,A1CXBV.FFM,27.12.2019,27.12.2019
L+G-L.DATED A.COMM.U.ETF       ,A1CXBU.FFM,08.05.2020,08.05.2020
L+G-US EQ.RE.EX.UC.ETF         ,A2PVZ0.FFM,08.05.2020,08.05.2020
L+G-US. EQ. DLA                ,A2N4RG.FFM,08.05.2020,08.05.2020
L.GE.MI.-CA.MDAX UETF D        ,LYX0R1.FFM,27.12.2019,27.12.2019
L.I.F-L.PRI. U. EOD            ,LYX0Y8.FFM,07.02.2020,07.02.2020
L3HARRIS TECHS INC.DL-*01      ,A2PM3H.ETR,13.11.2020,23.04.2021
L3HARRIS TECHS INC.DL-*01      ,A2PM3H.FFM,13.11.2020,23.04.2021
LAFARGEHOLCIM LTD.NAM.SF2      ,869898.FFM,09.08.2019,01.01.2019
LAFARGEHOLCIM LTD.NAM.SF2      ,869898.ETR,28.06.2019,28.06.2019
LAKESTAR SPAC I SE EO 1        ,A2QM3K.ETR,26.03.2021,23.04.2021
LAKESTAR SPAC I SE EO 1        ,A2QM3K.FFM,26.03.2021,23.04.2021
LAM RESEARCH CORP. DL-001      ,869686.FFM,13.11.2020,23.04.2021
LAM RESEARCH CORP. DL-001      ,869686.ETR,13.11.2020,23.04.2021
LAMAR ADVERTISING A            ,A12FFH.FFM,13.11.2020,23.04.2021
LAMAR ADVERTISING A            ,A12FFH.ETR,13.11.2020,22.03.2021
LANG+SCHWARZ AG NA             ,645932.FFM,13.11.2020,23.04.2021
LANG+SCHWARZ AG NA             ,645932.ETR,13.11.2020,23.04.2021
LANXESS AG                     ,547040.FFM,13.11.2020,23.04.2021
LANXESS AG                     ,547040.ETR,13.11.2020,23.04.2021
LAS VEGAS SANDS   DL-*001      ,A0B8S2.ETR,13.11.2020,23.04.2021
LAS VEGAS SANDS   DL-*001      ,A0B8S2.FFM,13.11.2020,23.04.2021
LEG IMMOBILIEN ADR/0*25        ,A2P68P.ETR,13.11.2020,18.12.2020
LEG IMMOBILIEN ADR/0*25        ,A2P68P.FFM,13.11.2020,22.01.2021
LEG IMMOBILIEN AG NA NEUE      ,LEG119.FFM,21.06.2019,21.06.2019
LEG IMMOBILIEN SE NA O.N.      ,LEG111.FFM,13.11.2020,23.04.2021
LEG IMMOBILIEN SE NA O.N.      ,LEG111.ETR,13.11.2020,23.04.2021
LEIDOS HOLDINGS  DL-*0001      ,A1W5CT.ETR,15.01.2021,23.04.2021
LEIDOS HOLDINGS  DL-*0001      ,A1W5CT.FFM,15.01.2021,23.04.2021
LEIFHEIT AG O.N.               ,646450.FFM,13.11.2020,23.04.2021
LEIFHEIT AG O.N.               ,646450.ETR,13.11.2020,23.04.2021
LENDINGTREE        DL-*01      ,A12HU0.ETR,26.01.2021,23.04.2021
LENDINGTREE        DL-*01      ,A12HU0.FFM,27.01.2021,23.04.2021
LENNOX INTL INC.   DL-*01      ,924838.ETR,15.01.2021,23.04.2021
LENNOX INTL INC.   DL-*01      ,924838.FFM,15.01.2021,23.04.2021
LENZING AG                     ,852927.FFM,13.11.2020,23.04.2021
LENZING AG                     ,852927.ETR,13.11.2020,23.04.2021
LEONI AG NA O.N.               ,540888.FFM,13.11.2020,23.04.2021
LEONI AG NA O.N.               ,540888.ETR,13.11.2020,23.04.2021
LEVI STRAUSS + CO. CL.A        ,A2PFHR.ETR,13.11.2020,23.04.2021
LEVI STRAUSS + CO. CL.A        ,A2PFHR.FFM,13.11.2020,23.04.2021
LIBERTY BROADBAND C            ,A12DQC.ETR,15.01.2021,23.04.2021
LIBERTY BROADBAND C            ,A12DQC.FFM,15.01.2021,23.04.2021
LIF- L.F.E/N US EOD            ,LYX0Y4.FFM,07.02.2020,07.02.2020
LIF-600 AUTOM. EOA             ,LYX01V.FFM,15.03.2019,15.03.2019
LIF-600 BANKS EOA              ,LYX01W.FFM,27.12.2019,27.12.2019
LIF-600 BAS.RE. EOA            ,LYX01X.FFM,22.11.2019,22.11.2019
LIF-600 CHEMIC. EOA            ,LYX01Y.FFM,15.03.2019,15.03.2019
LIF-600 CO.+MA. EOA            ,LYX01Z.FFM,15.03.2019,15.03.2019
LIF-600 F.+BEV. EOA            ,LYX02J.FFM,27.12.2019,27.12.2019
LIF-600 FI.SER. EOA            ,LYX02H.FFM,15.02.2019,15.02.2019
LIF-600 HEALTH. EOA            ,LYX02K.FFM,22.11.2019,22.11.2019
LIF-600 IN.G.+S EOA            ,LYX02L.FFM,15.02.2019,15.02.2019
LIF-600 INSURA. EOA            ,LYX02M.FFM,15.02.2019,15.02.2019
LIF-600 MEDIA EOA              ,LYX02N.FFM,22.11.2019,22.11.2019
LIF-600 OIL+G. EOA             ,LYX02P.FFM,15.03.2019,15.03.2019
LIF-600 PER.+H. EOA            ,LYX02Q.FFM,15.03.2019,15.03.2019
LIF-600 RETAIL EOA             ,LYX02R.FFM,27.12.2019,27.12.2019
LIF-600 TECHN. EOA             ,LYX02S.FFM,15.03.2019,15.03.2019
LIF-600 TELEC. EOA             ,LYX02T.FFM,15.03.2019,15.03.2019
LIF-600 TR.+LEI EOA            ,LYX02U.FFM,15.03.2019,15.03.2019
LIF-600 UTILIT. EOA            ,LYX02V.FFM,15.03.2019,15.03.2019
LIF-L.B. HYEXFB EOD            ,LYX0YX.FFM,07.02.2020,07.02.2020
LIF-L.EUROMTS C.BD.AG.EOA      ,LYX0YZ.FFM,27.12.2019,27.12.2019
LIF-L.F.E/N G.D EOD            ,LYX0Y2.FFM,22.11.2019,22.11.2019
LIF-L.ST.EU.600 RE.ES.EOD      ,LYX0Y0.FFM,27.12.2019,27.12.2019
LIMES SCHLOSSKLINIK. O.N.      ,A0JDBC.ETR,13.11.2020,23.04.2021
LIMES SCHLOSSKLINIK. O.N.      ,A0JDBC.FFM,13.11.2020,23.04.2021
LINDE AG O.N.                  ,648300.ETR,08.04.2019,08.04.2019
LINDE AG O.N.                  ,648300.FFM,19.04.2019,01.01.2019
LINDE PLC        EO 0*001      ,A2DSYC.FFM,13.11.2020,23.04.2021
