share_name                     ,number,first_date,last_date
CPI PROPERTY GRP   EO-*10      ,A0JL4D.ETR,13.11.2020,23.04.2021
CPI PROPERTY GRP   EO-*10      ,A0JL4D.FFM,13.11.2020,23.04.2021
CR CAPITAL AG  INH O.N.        ,A2GS62.FFM,13.11.2020,23.04.2021
CR CAPITAL AG  INH O.N.        ,A2GS62.ETR,13.11.2020,23.04.2021
CRED.SUISSE GRP NA SF-*04      ,876800.FFM,09.08.2019,01.01.2019
CRED.SUISSE GRP NA SF-*04      ,876800.ETR,28.06.2019,28.06.2019
CREDIT AGRICOLE INH. EO 3      ,982285.ETR,17.04.2020,17.04.2020
CREDIT AGRICOLE INH. EO 3      ,982285.FFM,19.06.2020,01.01.2019
CREDIT SUISSE GP AG ADR 1      ,911778.FFM,11.10.2019,01.01.2019
CREDIT SUISSE GP AG ADR 1      ,911778.ETR,20.08.2019,20.08.2019
CREDITSHELF AG  IA O.N.        ,A2LQUA.ETR,13.11.2020,23.04.2021
CREDITSHELF AG  IA O.N.        ,A2LQUA.FFM,13.11.2020,23.04.2021
CREE INC.       DL-*00125      ,891466.ETR,13.11.2020,23.04.2021
CREE INC.       DL-*00125      ,891466.FFM,13.11.2020,23.04.2021
CROPENERGIES AG                ,A0LAUP.FFM,13.11.2020,23.04.2021
CROPENERGIES AG                ,A0LAUP.ETR,13.11.2020,23.04.2021
CROWN CASTLE INTL              ,A12GN3.FFM,15.01.2021,23.04.2021
CROWN CASTLE INTL              ,A12GN3.ETR,15.01.2021,22.03.2021
CROWN HOLDINGS INC.  DL 5      ,252092.ETR,15.01.2021,23.04.2021
CROWN HOLDINGS INC.  DL 5      ,252092.FFM,15.01.2021,23.04.2021
CS VERMOEG.STRATE.U.ETF I      ,ETF701.FFM,22.11.2019,22.11.2019
CS-EO SX50DL.LEVE.U.ETF I      ,ETF053.FFM,07.02.2020,07.02.2020
CS-FR EO STOXX 50 U.ETF I      ,ETF054.FFM,07.02.2020,07.02.2020
CS-STX E.600 BA.RE.UETF I      ,ETF063.FFM,07.02.2020,07.02.2020
CS.CO.C.EX-AG.EWT.U.ETF I      ,ETF090.FFM,22.11.2019,22.11.2019
CSIF(IE)ETF-FEPRANDGB BDL      ,A2P4U0.FFM,21.08.2020,21.08.2020
CSIF(IE)ETF-MUSSCELB BDL       ,A2P4U1.FFM,21.08.2020,21.08.2020
CSIF(IE)ETF-MWESGLMVB BDL      ,A2P4U2.FFM,30.09.2020,30.10.2020
CSX CORP.            DL 1      ,865857.ETR,15.01.2021,23.04.2021
CSX CORP.            DL 1      ,865857.FFM,15.01.2021,23.04.2021
CTS EVENTIM KGAA               ,547030.FFM,13.11.2020,23.04.2021
CTS EVENTIM KGAA               ,547030.ETR,13.11.2020,23.04.2021
CTS EVENTIM UNSP.ADR/0*25      ,A2QHM1.ETR,23.12.2020,22.03.2021
CTS EVENTIM UNSP.ADR/0*25      ,A2QHM1.FFM,23.12.2020,23.04.2021
CUMMINS INC.      DL 2*50      ,853121.ETR,15.01.2021,23.04.2021
CUMMINS INC.      DL 2*50      ,853121.FFM,15.01.2021,23.04.2021
CURASAN AG                     ,549453.ETR,02.07.2019,02.07.2019
CURASAN AG                     ,549453.FFM,09.08.2019,01.01.2019
CURASAN AG  INH O.N.           ,A2YPGM.ETR,29.09.2020,29.09.2020
CURASAN AG  INH O.N.           ,A2YPGM.FFM,30.09.2020,30.10.2020
CUREVAC N.V.   O.N.            ,A2P71U.FFM,13.11.2020,23.04.2021
CUREVAC N.V.   O.N.            ,A2P71U.ETR,13.11.2020,23.04.2021
CVS HEALTH CORP.   DL-*01      ,859034.FFM,13.11.2020,23.04.2021
CVS HEALTH CORP.   DL-*01      ,859034.ETR,13.11.2020,23.04.2021
CYAN AG O.N.                   ,A2E4SV.FFM,13.11.2020,23.04.2021
CYAN AG O.N.                   ,A2E4SV.ETR,13.11.2020,23.04.2021
CYTOTOOLS          O.N.        ,A0KFRJ.FFM,13.11.2020,23.04.2021
CYTOTOOLS          O.N.        ,A0KFRJ.ETR,13.11.2020,23.04.2021
DAIMLER AG NA O.N.             ,710000.FFM,13.11.2020,23.04.2021
DAIMLER AG NA O.N.             ,710000.ETR,13.11.2020,23.04.2021
DALDRUP+SOEHNE AG              ,783057.FFM,13.11.2020,23.04.2021
DALDRUP+SOEHNE AG              ,783057.ETR,13.11.2020,23.04.2021
DANAHER CORP.      DL-*01      ,866197.FFM,13.11.2020,23.04.2021
DANAHER CORP.      DL-*01      ,866197.ETR,13.11.2020,23.04.2021
DANONE S.A. EO -*25            ,851194.FFM,13.11.2020,23.04.2021
DANONE S.A. EO -*25            ,851194.ETR,13.11.2020,23.04.2021
DARDEN REST. INC.              ,895738.ETR,15.01.2021,23.04.2021
DARDEN REST. INC.              ,895738.FFM,15.01.2021,23.04.2021
